component,archive_path,source_path,bytes,sha256,reason,reference
project_code,code/examples/Chapter 4/Correlation and Tail Risk in CLO Tranches/BLOOMBERG_AIRGAP_PLAYBOOK.md,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches\BLOOMBERG_AIRGAP_PLAYBOOK.md,3587,15a8c3d6eba3edd2adec26589303c32a095698fb4fcc0ffd89ce96c70aa1af7a,project_code,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches
project_code,code/examples/Chapter 4/Correlation and Tail Risk in CLO Tranches/CLO-Bloomberg-Data-Needed.md,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches\CLO-Bloomberg-Data-Needed.md,13604,a22d3706582b12767a256d84a51ff992a2c7644195290da2a90d70b8df3f00c4,project_code,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches
project_code,code/examples/Chapter 4/Correlation and Tail Risk in CLO Tranches/DATA_CARD.md,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches\DATA_CARD.md,6242,db2bc86b9a7d218c37bb047aefc425666c1b7e69a348368e1c31e08d51d6ff00,project_code,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches
project_code,code/examples/Chapter 4/Correlation and Tail Risk in CLO Tranches/live_contract_template/agg_clo_cohort_default.csv,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches\live_contract_template\agg_clo_cohort_default.csv,69,18a0ad1b4d1238c4535c2a9562d842d49db3d426a982ee7dc1f6b0a47dec76b9,project_code,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches
project_code,code/examples/Chapter 4/Correlation and Tail Risk in CLO Tranches/live_contract_template/dim_clo_tranche.csv,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches\live_contract_template\dim_clo_tranche.csv,93,43c058a99c78384baa509d6b0b51296b1f99253feda81fa4112e2f60b86a7aad,project_code,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches
project_code,code/examples/Chapter 4/Correlation and Tail Risk in CLO Tranches/live_contract_template/fact_clo_collateral_position.csv,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches\live_contract_template\fact_clo_collateral_position.csv,206,4181de0587b4e98cfba41144aa93d77f11ea638f1fbadcbe7d438c19a2415cec,project_code,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches
project_code,code/examples/Chapter 4/Correlation and Tail Risk in CLO Tranches/live_contract_template/fact_clo_default_event.csv,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches\live_contract_template\fact_clo_default_event.csv,61,460e5db9b6a60ceda946b37b16404f503c71c35c147b0336f6843ee313951105,project_code,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches
project_code,code/examples/Chapter 4/Correlation and Tail Risk in CLO Tranches/live_contract_template/fact_clo_manager_report.csv,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches\live_contract_template\fact_clo_manager_report.csv,92,a583da2e66bb1362ef7a51f5aa7350f796558dfeb7042851d2ac63cde3bc0400,project_code,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches
project_code,code/examples/Chapter 4/Correlation and Tail Risk in CLO Tranches/live_contract_template/fact_clo_recovery_event.csv,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches\live_contract_template\fact_clo_recovery_event.csv,76,eb2b246e1c511fc43513222679e2b824153a0812f4bd6cb8a02f7d0035922329,project_code,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches
project_code,code/examples/Chapter 4/Correlation and Tail Risk in CLO Tranches/live_contract_template/fact_clo_tranche_cashflow.csv,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches\live_contract_template\fact_clo_tranche_cashflow.csv,92,0f67e915d4b95047834d4703d17ed6c80e205f3056510567755a66ff4fc76a41,project_code,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches
project_code,code/examples/Chapter 4/Correlation and Tail Risk in CLO Tranches/live_contract_template/README.md,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches\live_contract_template\README.md,1636,bebce637052991a040414772a934d33dba5e36c2caed522bcf0db4e44896a051,project_code,D:\dev\ECR Capital Management\Book2\repo\examples\Chapter 4\Correlation and Tail Risk in CLO Tranches
