worksheet,output_file,canonical_column,bloomberg_function,bloomberg_field,security_or_screen,transformation,notes
"ARES 23-68A BR Mtge (lld_ares_2023.xlsx)",bbg_loan_collateral_export.csv,deal_id,manual,,"ARES 2023-68A",constant,"Local stable identifier ARES_2023_68A used across all exports."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,as_of_date,manual,,"deal manifest",manual entry,"BLOCKING: tape carries no date. Confirm from Bloomberg pull log and Monthly_Report_05_26 determination date, then fill. Provisional 2026-05-31 recorded in as_of_date_provisional."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,loan_id,"collateral export (operator to confirm exact function)",CUSIP,"ARES 23-68A BR Mtge screen",direct pull with fallback,"Hierarchy: CUSIP > FIGI > LOCAL_SYNTHETIC (1 row: Versant Media TLA, unquoted pro-rata tranche with no public ID). Provenance in loan_id_source."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,loan_identifier,collateral export,Issuer + Security Name,"same",concatenation,"Issuer | Security Name."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,sector,collateral export,S&P Industry,"same",direct pull,"S&P scheme chosen for consistency with S&P-standardized ratings/recoveries. Moody's industry kept in moodys_industry for the intra/inter-industry rho factor structure."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,current_balance,collateral export,Current Balance,"same",direct pull,"Sums to 492,060,794.12 across 415 rows; ties to TRIG-derived stats."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,rating,collateral export,S&P Reported Rating,"same",direct pull,"Issue-level rating; display/bucketing. 2 rows unrated by both agencies (University Support Services, Entrata) — see rule in notes for rating_for_pd."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,rating_for_pd,collateral export,S&P Issuer Rating,"same",conditional,"PD keys to ISSUER credit rating (issue ratings are recovery-notched; using them for PD double-counts LGD). Fallback to issue rating where issuer is NR/blank (24 rows, provenance in rating_for_pd_source). Divergence is minor: 9 loans, ~1.2% of par."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,market_price,collateral export,Last Price,"same",direct pull with proxy,"409/415 direct. 6 rows proxied at S&P rating-cohort par-weighted WA of priced non-defaulted loans (provenance in price_source). Before relying on proxies: check Monthly_Report_05_26 purchases/sales for transacted prices, esp. Clarios TLB 01/25 (likely identifier-mapping gap, not genuinely unquoted). Sensitivity: proxied names are ~1.5% of par; flat-WA vs stressed pricing moves pool MV ~0.2% (~$1.1M)."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,discount_margin_bps,n/a,,,not available,"Not in tape. market_price is the valuation anchor; contract requires only one of the two."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,coupon_spread_bps,collateral export,Margin,"same",unit conversion,"Margin x 100. Populated on all 390 floaters. Fixed-rate rows (25) set to 0 under the FXD convention below."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,coupon_floor,collateral export,Index Floor Rate / Coupon,"same",conditional,"FLT rows: Index Floor Rate (blank treated as 0). FXD rows (25, 2.7% of par): floor set to the fixed coupon and spread set to 0, so max(r,floor)+spread reproduces the coupon while r < coupon. LIMITATION: breaks if reference rate exceeds the fixed coupon — code should branch on coupon_type; exact coupon kept in coupon_rate_pct."
"ARES 23-68A BR Mtge",bbg_loan_collateral_export.csv,reference_rate,manual,,"CME Term SOFR 3M",manual entry,"BLOCKING: single pool-level value as of as_of_date. Pull once the as-of is confirmed; record source and tenor here."
